RecipientCountryCode,Year,ReportingOrgID,ReportingOrgName,ReportingOrgType,TransactionProviderID,TransactionProviderName,TransactionProviderType,checkID,ReportingOrgIDRevised,ReportingOrgNameRevised,ReportingOrgTypeRevised
MM,2022,XI-IATI-EC_INTPA,European Commission - Directorate-General for International Partnerships,15,XI-IATI-EC_INTPA,European Commission - Directorate General for International Partnerships,15,MM-2022-XI-IATI-EC_INTPA-European Commission - Directorate-General for International Partnerships-XI-IATI-EC_INTPA-European Commission - Directorate General for International Partnerships,XI-IATI-EC_INTPA,European Commission - Directorate-General for International Partnerships,40
MM,2024,XI-IATI-EC_INTPA,European Commission - Directorate-General for International Partnerships,15,XI-IATI-EC_INTPA,European Commission - Directorate General for International Partnerships,15,MM-2024-XI-IATI-EC_INTPA-European Commission - Directorate-General for International Partnerships-XI-IATI-EC_INTPA-European Commission - Directorate General for International Partnerships,XI-IATI-EC_INTPA,European Commission - Directorate-General for International Partnerships,40
BD,2023,GB-GOV-1,"UK - Foreign, Commonwealth Development Office (FCDO)",10,GB-GOV-1,"Foreign, Commonwealth and Development Office (FCDO)",NA,"BD-2023-GB-GOV-1-UK - Foreign, Commonwealth Development Office (FCDO)-GB-GOV-1-Foreign, Commonwealth and Development Office (FCDO)",GB-GOV-1,"UK - Foreign, Commonwealth Development Office (FCDO)",10
BD,2022,GB-GOV-1,"UK - Foreign, Commonwealth Development Office (FCDO)",10,GB-GOV-1,"Foreign, Commonwealth and Development Office (FCDO)",NA,"BD-2022-GB-GOV-1-UK - Foreign, Commonwealth Development Office (FCDO)-GB-GOV-1-Foreign, Commonwealth and Development Office (FCDO)",GB-GOV-1,"UK - Foreign, Commonwealth Development Office (FCDO)",10
BD,2024,GB-GOV-1,"UK - Foreign, Commonwealth Development Office (FCDO)",10,GB-GOV-1,"Foreign, Commonwealth and Development Office (FCDO)",NA,"BD-2024-GB-GOV-1-UK - Foreign, Commonwealth Development Office (FCDO)-GB-GOV-1-Foreign, Commonwealth and Development Office (FCDO)",GB-GOV-1,"UK - Foreign, Commonwealth Development Office (FCDO)",10
BD,2021,GB-GOV-1,"UK - Foreign, Commonwealth Development Office (FCDO)",10,GB-GOV-1,"Foreign, Commonwealth and Development Office (FCDO)",NA,"BD-2021-GB-GOV-1-UK - Foreign, Commonwealth Development Office (FCDO)-GB-GOV-1-Foreign, Commonwealth and Development Office (FCDO)",GB-GOV-1,"UK - Foreign, Commonwealth Development Office (FCDO)",10
MM,2021,GB-GOV-1,"UK - Foreign, Commonwealth Development Office (FCDO)",10,GB-GOV-1,"Foreign, Commonwealth and Development Office (FCDO)",NA,"MM-2021-GB-GOV-1-UK - Foreign, Commonwealth Development Office (FCDO)-GB-GOV-1-Foreign, Commonwealth and Development Office (FCDO)",GB-GOV-1,"UK - Foreign, Commonwealth Development Office (FCDO)",10
MM,2022,GB-GOV-1,"UK - Foreign, Commonwealth Development Office (FCDO)",10,GB-GOV-1,"Foreign, Commonwealth and Development Office (FCDO)",NA,"MM-2022-GB-GOV-1-UK - Foreign, Commonwealth Development Office (FCDO)-GB-GOV-1-Foreign, Commonwealth and Development Office (FCDO)",GB-GOV-1,"UK - Foreign, Commonwealth Development Office (FCDO)",10
MM,2023,GB-GOV-1,"UK - Foreign, Commonwealth Development Office (FCDO)",10,GB-GOV-1,"Foreign, Commonwealth and Development Office (FCDO)",NA,"MM-2023-GB-GOV-1-UK - Foreign, Commonwealth Development Office (FCDO)-GB-GOV-1-Foreign, Commonwealth and Development Office (FCDO)",GB-GOV-1,"UK - Foreign, Commonwealth Development Office (FCDO)",10
MM,2023,GB-COH-1762840,HelpAge International,21,NA,WHO,NA,MM-2023-GB-COH-1762840-HelpAge International-NA-WHO,XM-DAC-928,World Health Organization (WHO),40
